x		F(x)
------------------------------
-3.00		8.5644800322
-2.90		8.3669973169
-2.80		8.1799526006
-2.70		7.9995195209
-2.60		7.8220054873
-2.50		7.6438885764
-2.40		7.4618527222
-2.30		7.2728208487
-2.20		7.0739856153
-2.10		6.8628374666
-2.00		6.6371897073
-1.90		6.3952003507
-1.80		6.1353905235
-1.70		5.8566592418
-1.60		5.5582944122
-1.50		5.2399799464
-1.40		4.9017989200
-1.30		4.5442327417
-1.20		4.1681563439
-1.10		3.7748294402
-1.00		3.3658839392
-0.90		2.9433076385
-0.80		2.5094243636
-0.70		2.0668707490
-0.60		1.6185698936
-0.50		1.1677021544
-0.40		0.7176733692
-0.30		0.2720808266
-0.20		-0.1653226768
-0.10		-0.5906663334
0.00		-1.0000000000
0.10		-1.3893336666
0.20		-1.7546773232
0.30		-2.0920808266
0.40		-2.3976733692
0.50		-2.6677021544
0.60		-2.8985698936
0.70		-3.0868707490
0.80		-3.2294243636
0.90		-3.3233076385
1.00		-3.3658839392
1.10		-3.3548294402
1.20		-3.2881563439
1.30		-3.1642327417
1.40		-2.9817989200
1.50		-2.7399799464
1.60		-2.4382944122
1.70		-2.0766592418
1.80		-1.6553905235
1.90		-1.1752003507
2.00		-0.6371897073
2.10		-0.0428374666
2.20		0.6060143847
2.30		1.3071791513
2.40		2.0581472778
2.50		2.8561114236
2.60		3.6979945127
2.70		4.5804804791
2.80		5.5000473994
2.90		6.4530026831
3.00		7.4355199678
