Система нелінійних рівнянь:
  f₁(x₁,x₂) = x₁² + x₂² - 4 = 0
  f₂(x₁,x₂) = x₁·x₂ - 1 = 0

Цільова функція:
  Φ(x₁,x₂) = f₁² + f₂²

Параметри методу:
  X⁰ = (2.0, 1.0)
  ΔX = (0.1, 0.1)
  ε₁ = 1e-06
  ε₂ = 1e-06
  q = 2.0
  p = 2.0

ТРАЄКТОРІЯ СПУСКУ:
----------------------------------------------------------------------
№ кроку    x₁                   x₂                   Φ(X)                
----------------------------------------------------------------------
0          2.0000000000         1.0000000000         2.00e+00            
1          1.9000000000         0.9000000000         6.80e-01            
2          1.8000000000         0.7000000000         1.41e-01            
3          1.9000000000         0.6000000000         2.05e-02            
4          1.9031250000         0.5000000000         1.88e-02            
5          1.9062500000         0.5500000000         6.41e-03            
6          1.9093750000         0.5375000000         4.97e-03            
7          1.9187500000         0.5250000000         1.88e-03            
8          1.9375000000         0.5125000000         3.24e-04            
9          1.9343750000         0.5156250000         6.56e-05            
10         1.9312500000         0.5187500000         4.74e-06            
11         1.9316406250         0.5171875000         2.60e-06            
12         1.9320312500         0.5175781250         4.00e-07            
13         1.9318359375         0.5176757813         4.65e-09            
14         1.9318420410         0.5176269531         3.07e-09            
15         1.9318481445         0.5176513672         5.68e-10            
16         1.9318466187         0.5176391602         3.37e-10            
17         1.9318481445         0.5176422119         1.24e-10            
18         1.9318496704         0.5176391602         4.40e-11            
19         1.9318527222         0.5176361084         1.51e-11            
20         1.9318527222         0.5176376343         1.35e-11            
21         1.9318519592         0.5176391602         1.02e-11            
22         1.9318511963         0.5176391602         3.78e-12            
23         1.9318511963         0.5176383972         2.22e-12            
24         1.9318515778         0.5176376343         1.42e-12            
25         1.9318519592         0.5176376343         1.03e-12            
26         1.9318519592         0.5176376343         1.03e-12            
27         1.9318517685         0.5176378250         2.35e-13            
28         1.9318515778         0.5176382065         6.30e-14            
29         1.9318515778         0.5176382065         6.30e-14            
30         1.9318515778         0.5176382065         6.30e-14            
31         1.9318516254         0.5176381588         1.52e-14            
32         1.9318516731         0.5176380634         4.36e-15            
33         1.9318516731         0.5176380634         4.36e-15            
34         1.9318516731         0.5176380634         4.36e-15            
35         1.9318516612         0.5176380754         9.09e-16            
36         1.9318516493         0.5176380992         2.57e-16            
37         1.9318516493         0.5176380992         2.57e-16            
38         1.9318516493         0.5176380932         1.09e-16            
39         1.9318516552         0.5176380873         7.12e-17            
40         1.9318516552         0.5176380873         7.12e-17            
41         1.9318516523         0.5176380903         1.35e-18            
42         1.9318516523         0.5176380903         1.35e-18            
43         1.9318516523         0.5176380903         1.35e-18            
44         1.9318516523         0.5176380903         1.35e-18            
45         1.9318516526         0.5176380903         9.21e-20            
46         1.9318516526         0.5176380903         9.21e-20            
47         1.9318516526         0.5176380901         6.33e-20            
48         1.9318516526         0.5176380901         6.33e-20            
49         1.9318516526         0.5176380902         3.60e-20            
50         1.9318516525         0.5176380903         1.24e-20            
51         1.9318516525         0.5176380903         1.24e-20            
52         1.9318516525         0.5176380903         1.24e-20            
53         1.9318516526         0.5176380902         2.02e-21            
54         1.9318516526         0.5176380902         1.94e-21            
55         1.9318516526         0.5176380902         1.94e-21            
56         1.9318516526         0.5176380902         1.57e-21            
57         1.9318516526         0.5176380902         2.69e-23            
58         1.9318516526         0.5176380902         2.69e-23            
59         1.9318516526         0.5176380902         2.69e-23            
60         1.9318516526         0.5176380902         9.39e-24            
61         1.9318516526         0.5176380902         9.39e-24            
62         1.9318516526         0.5176380902         7.97e-24            
63         1.9318516526         0.5176380902         6.09e-24            
64         1.9318516526         0.5176380902         6.09e-24            
65         1.9318516526         0.5176380902         4.67e-24            
66         1.9318516526         0.5176380902         1.11e-25            
67         1.9318516526         0.5176380902         1.11e-25            
68         1.9318516526         0.5176380902         1.11e-25            
69         1.9318516526         0.5176380902         4.03e-26            
70         1.9318516526         0.5176380902         4.03e-26            
